Sample,Storage Time,Storage Temperature,Ammonia Content,TBARS-Value
,12.0,–18,52.4 ± 1.1 aC,261.4 ± 5.1 aC
,,5,60.1 ± 1.3 bE,342.0 ± 6.4 bE
,,25,61.7 ± 1.3 bD,391.5 ± 6.7 cE
,,40,98.6 ± 1.4 cE,438.7 ± 7.2 dE
,15.0,5,63.3 ± 1.4 aF,330.1 ± 3.9 aF
,,25,68.2 ± 0.8 bE,374.2 ± 3.1 bF
,,40,117.0 ± 7.3 cF,458.9 ± 4.8 cF
,18.0,5,"58.4 ± 0.4 aD,E",301.0 ± 1.2 aD
,,25,70.8 ± 1.2 bF,359.2 ± 4.3 bG
,,40,143.1 ± 8.1 cG,491.1 ± 5.9 cF
,21.0,5,76.2 ± 1.4 aF,301.8 ± 2.9 aD
,,25,81.2 ± 0.8 bG,345.8 ± 4.8 bD
,,40,177.2 ± 9.8 cH,539.5 ± 6.3 cG
,24.0,–18,63.0 ± 1.0 aD,257.7 ± 4.2 aD
,,5,"63.5 ± 2,3 aG","327.5 ± 4,5 bE"
,,25,98.4 ± 2.1 bH,391.1 ± 5.3 cE
,,40,201.9 ± 9.7 cI,609.4 ± 6.6 dI
Canned,0.0,-,71.1 ± 1.5 A,6.7 ± 0.1 A
chicken,1.0,40,93.9 ± 1.8 B,13.2 ± 0.3 B
meat,3.0,–18,88.9 ± 1.5 aB,11.9 ± 0.2 aB
,,5,91.4 ± 1.7 bB,12.3 ± 0.2 bB
,,25,93.2 ± 1.7 bB,15.5 ± 0.2 cB
,,40,106.6 ± 2.0 cC,29.8 ± 0.6 dC
,6.0,5,99.6 ± 1.9 aC,24.7 ± 0.7 aC
,,25,108.7 ± 2.0 bC,30.8 ± 0.7 bC
,,40,115.9 ± 2.2 cD,58.6 ± 0.9 cD
,9.0,5,110.7 ± 2.1 aD,35.7 ± 0.8 aD
,,25,113.8 ± 2.1 aD,50.1 ± 0.9 bD
,,40,149.5 ± 3.8 bD,69.2 ± 2.7 cD
,12.0,–18,95.4 ± 1.7 aC,31.2 ± 0.6 aC
,,5,115.9 ± 2.1 bE,44.4 ± 0.7 bE
,,25,121.9 ± 2.3 cE,62.8 ± 0.9 cE
,,40,NE **,NE
,15.0,5,121.7 ± 1.9 aF,46.3 ± 0.1 aF
,,25,126.6 ± 1.7 bF,64.7 ± 0.3 bF
,,40,NE,NE
,18.0,5,136.8 ± 2.2 aG,41.6 ± 2.1 aG
,,25,157.4 ± 1.4 bG,57.1 ± 1.1 bG
,,40,NE,NE
,21.0,5,152.3 ±1.4 aH,38.5 ± 0.8 aG
,,25,198.0 ± 2.1 bH,55.6 ± 1.3 bG
,,40,NE,NE
,24.0,–18,107.3 ± 1.8 aD,40.3 ± 1.5 aD
,,5,176.4 ± 2.7 bI,49.3 ± 1.8 bI
,,25,NE,NE
,,40,NE,NE
Pork,0.0,-,30.5 ± 0.6 A,28.2 ± 0.6 A
paté,1.0,40,53.4 ± 1.1 B,39.7 ± 0.8 B
,3.0,–18,40.6 ± 0.7 aB,32.5 ± 0.7 aB
,,5,43.2 ± 0.5 bB,37.6 ± 0.7 bB
,,25,45.7 ± 0.7 bB,41.7 ± 0.7 cB
,,40,57.1 ± 1.0 cC,61.9 ± 1.5 dC
,6.0,5,47.9 ± 0.8 aC,44.6 ± 0.8 aC
,,25,50.6 ± 0.8 bC,49.4 ± 0.8 bC
,,40,62.4 ± 1.1 cD,73.1 ± 1.6 cD
,9.0,5,51.0 ± 0.9 aD,51.2 ± 0.9 aD
,,25,55.4 ± 1.1 bD,58.4 ± 1.1 bD
,,40,76.1 ± 2.4 cE,89.0 ± 2.5 cE
,12.0,–18,49.7 ± 0.9 aC,41.6 ± 0.7 aC
,,5,57.0 ± 1.3 bE,59.0 ± 1.4 bE
,,25,60.3 ± 1.3 cE,67.7 ± 1.7 cE
,,40,91.6 ± 2.7 dF,102.7 ± 1.6 dF
,15.0,5,55.8 ± 1.7 aE,62.1 ± 1.5 aF
,,25,66.0 ± 1.4 bF,73.2 ± 0.8 bF
,,40,109.7 ± 2.2 cG,121.9 ± 2.6 cG
,18.0,5,60.9 ± 1.8 aF,58.9 ± 1.7 aF
,,25,73.6 ± 0.5 bG,70.0 ± 1.4 bF
,,40,125.9 ± 3.1 cH,"139,9 ± 3.4 cH"
,21.0,5,63.2 ± 1.5 aG,56.4 ± 1.0 aF
,,25,79.2 ± 0.9 bH,66.7 ± 1.2 bG
,,40,139.1 ± 3.0 cI,147.2 ± 2.8 cI
,24.0,–18,60.9 ± 1.0 aD,44.5 ± 1.3 aC
,,5,67.5 ± 0.4 bH,55.8 ± 1.4 bF
,,25,83.2 ± 0.6 cI,67.4 ± 1.7 cG
,,40,151.9 ± 2.7 dJ,154.8 ± 1.9 dJ
Canned,0.0,-,68.5 ± 1.4 A,30.8 ± 0.6 A
tuna,1.0,40,76.2 ± 1.5 B,56.2 ± 1.4 B
fish,3.0,–18,70.1 ± 1.4 aA,31.1 ± 0.6 aA
,,5,72.3 ± 1.4 aB,53.3 ± 1.3 bB
,,25,79.2 ± 1.5 bB,56.2 ± 1.4 bB
,,40,88.6 ± 1.6 cC,77.2 ± 1.6 cC
,6.0,5,76.3 ± 1.5 aC,62.1 ± 1.4 aC
,,25,84.0 ± 1.8 bC,67.8 ± 1.5 bC
,,40,97.0 ± 1.9 cD,89.5 ± 1.9 cD
,9.0,5,80.9 ± 1.6 aD,68.8 ± 1.6 aD
,,25,87.3 ± 1.7 bD,72.1 ± 1.6 bD
,,40,103.7 ± 1.5 cE,92.6 ± 1.8 cE
,12.0,–18,74.0 ± 1.6 aB,53.4 ± 1.3 aC
,,5,85.3 ± 1.7 bE,75.4 ± 1.7 bE
,,25,92.7 ± 1.9 cE,78.3 ± 1.8 cE
,,40,109.2 ± 2.4 dF,97.0 ± 1.9 dF
,15.0,5,83.8 ± 0.9 aE,79.6 ± 1.6 aF
,,25,96.5 ± 1.5 bF,83.6 ± 1.3 bF
,,40,117.2 ± 1.9 cG,106.3 ± 2.0 cG
,18.0,5,96.2 ± 1.3 aF,76.9 ± 1.6 aE
,,25,102.7 ± 1.4 bG,79.7 ± 1.9 bE
,,40,131.8 ± 2.8 cH,120.4 ± 2.3 cH
,21.0,5,107.1 ± 1.8 aG,73.3 ± 2.0 aE
,,25,115.3 ± 1.7 bH,76.7 ± 1.5 bE
,,40,139.3 ± 1.6 cI,128.5 ± 2.7 cI
,24.0,–18,76.9 ± 1.8 aC,60.0 ± 1.1 aD
,,5,112.3 ± 1.4 bH,70.9 ± 1.2 bD
,,25,126.4 ± 1.5 cI,73.1 ± 1.9 cD
,,40,149.8 ± 2.9 dJ,137.2 ± 2.7 dJ
